Year,Title,Author,Amazon Best Sellers Rank in Books
2018,This Love, Dani Atkins,1575630
2017, Love Song, Sophia Bennett,3644709
2016,Letters to the Lost, Iona Grey,1213247
2015,Struck, Joss Stirling,6451288
2014,A Night on The Orient Express, Veronica Henry,994679
2013,Welcome to Rosie Hopkin's Sweetshop of Dreams, Jenny Colgan,170712
2012,Please Don't Stop The Music, Jane Lovering,6991936
2011,The Last Letter From Your Lover, Jojo Moyes,24172
2010,Lost Dogs and Lonely Hearts, Lucy Dillon,1916757
2009,East of the Sun, Julia Gregson,586184
2008,Pillow Talk, Freya North,0
2007,Iris & Ruby, Rosie Thomas,1140912
2006,Gardens of Delight, Erica James,2329744
2005,A Good Voyage, Katharine Davies,N/A
2004,Foreign Fruit, Jojo Moyes,1037547
2003,Playing James, Sarah Mason,2407039
2002,The Other Boleyn Girl, Philippa Gregory,64495
2001,Someone Like You, Cathy Kelly,2363344
2000,Dancing In The Dark, Maureen Lee,5255514
1999,Learning To Swim, Clare Chambers,1689779
1998,Kiss And Kin, Angela Lambert,N/A
1997,The Hours Of The Night, Sue Gee,7877852
1996,Coming Home, Rosamunde Pilcher,328956
1995,Change Of Heart, Charlotte Bingham,N/A
1994,Consider The Lily, Elizabeth Buchan,3427159
1993,Emily, Cynthia Harrod-Eagles,8038858
1992,Sandstorm, June Knox-Mawer,3789823
1991,Phantom, Susan Kay,92797
1990,Passing Glory, Reay Tannahill,5882480
1989,The Peacock's Feather,The Peacock's Feather,N/A
1988,The Juniper Bush, Audrey Howard,8405713
1987,A Better World Than This, Marie Joseph,N/A
1986,A Song Twice Over, Brenda Jagger,7309345
1985,Sunrise, Rosie Thomas,5904963
1984,A Highly Respectable Marriage, Sheila Walsh,7565601
1983,Magic Flutes, Eva Ibbotson,3929408
1982,Zemindar, Valerie Fitzgerald,2316166
1981,The Red Staircase, Gwendoline Butler,8433877
1980,Parson Harding's Daughter, Joanna Trollope,2314766
1980,Mr Rodriguez, Mary Howard,N/A
1979,The Emerald Peacock, Katharine Gordon,9245014
1979,Countess, Josephine Edgar,9918692
1978,Merlin's Keep, Madeleine Brent,927831
1978,It Was The Lark, Catherine Macarthur,N/A
1977,Every Man A King, Anne Worboys,N/A
1976,The Look Of Innocence, Anna Gilbert,N/A
1976,The Moon Is Square, Margaret Maddocks,3112875
1975,Vote For A Silk Gown, Jay Allerton,N/A
1974,The Burning Lamp, Frances Murray,3806244
1973,The House Of Kuragin, Constance Heaven,7488751
1972,The Pride Of Innocence, Maynah Lewis,",824,517"
1971,Flower Of Silence, Joanne Marshall,N/A
1970,Cat On A Broomstick, Joanne Marshall,N/A
1970,Thea, Margaret Maddocks,N/A
1970,Broken Tapestry, Rona Randall,N/A
1969,Comfort and Keep, Doris Smith,N/A
1968,The Future Is Forever, Maynah Lewis,N/A
1967,The Truth Game, Anne Betteridge,N/A
1965,The Silver Answer, Margaret Maddocks,N/A
1964,Journey from Yesterday, Suzanne Ebel,N/A
1963,House Divided, Dorothy Gray,N/A
1962,Larksbrook, Margaret Maddocks,N/A
1961,The Witches Sabbath, Paula Allardyce,9498032
1960,More Than Friendship, Mary Howard,11576515
